start = 0, end = 4
start = 5, end = 12
start = 100, end = 102
start = 200, end = 204
start = 205, end = 209
start = 300, end = 302
start = 400, end = 404
start = 405, end = 412
start = 500, end = 502
start = 600, end = 604
start = 605, end = 609
start = 700, end = 702
start = 800, end = 804
start = 805, end = 812
start = 900, end = 902
start = 1000, end = 1004
start = 1005, end = 1009
start = 1100, end = 1102
start = 1200, end = 1204
start = 1205, end = 1212
start = 1300, end = 1302
start = 1400, end = 1404
start = 1405, end = 1409
start = 1500, end = 1502
start = 1600, end = 1604
start = 1605, end = 1612
start = 1700, end = 1702
start = 1800, end = 1804
start = 1805, end = 1809
start = 1900, end = 1902
