start = 0, end = 9
start = 100, end = 102
start = 200, end = 204
start = 300, end = 302
start = 400, end = 405
start = 500, end = 502
start = 505, end = 509
start = 600, end = 604
start = 700, end = 702
start = 800, end = 805
start = 900, end = 902
start = 1000, end = 1004
start = 1005, end = 1009
start = 1100, end = 1102
start = 1200, end = 1205
start = 1300, end = 1302
start = 1400, end = 1404
start = 1500, end = 1502
start = 1505, end = 1509
start = 1600, end = 1605
start = 1700, end = 1702
start = 1800, end = 1804
start = 1900, end = 1902
